locality,latitude,longitude
Aundh,18.5602,73.8031
Baner,18.559,73.7868
Bavdhan,18.5135,73.7699
Bhosari,18.6321,73.8468
CampArea,18.499,73.8957
Chinchwad,18.6298,73.7997
Erandwane,18.5086,73.8314
FatimaNagar,18.5042,73.9014
Hadapsar,18.5089,73.9259
Hinjawadi,18.5913,73.7389
JMRoad,18.5314,73.8446
KalyaniNagar,18.5462,73.904
KarveNagar,18.4915,73.8217
Katraj,18.4529,73.8652
Kharadi,18.5538,73.9477
Kondhwa,18.4695,73.889
Kothrud,18.5074,73.8077
Narhe,18.4465,73.8264
NIBMRoad,18.4765,73.9006
Nigdi,18.6492,73.7707
Pashan,18.5415,73.7925
PimpleGurav,18.5866,73.8134
PimpleNilakh,18.579,73.786
PimpleSaudagar,18.5987,73.7978
Pimpri,18.6298,73.7997
Ravet,18.6606,73.7322
SadashivPeth,18.5082,73.8441
Shivapur,18.339,73.8397
SinhgadRoad,18.4465,73.7837
Swargate,18.5018,73.8636
VimanNagar,18.5679,73.9143
Vishrantwadi,18.5726,73.8782
Wagholi,18.5808,73.9787
Wakad,18.6011,73.7641
Wanowrie,18.4848,73.9023
Warje,18.4865,73.7968
